Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
438.5000,433.5000,VK3RLP,-,Muckleford,Castlemaine,-37.059072,144.188513,O,100,148,3,3HF,91.5,103
438.5250,431.5250,VK3RAD,-,Mitcham,Melbourne,-37.820773,145.188383,O,50,100,2.5,3ZKV,123,6
438.5250,433.5250,VK3RNU,-,Mt Stanley,Wangaratta,-36.444595,146.802919,O,60,1051,2.5,3WI,-,
438.5250,433.5250,VK3RRU,-,Merbein,Mildura,-34.168332,142.07905,O,20,-,2.5,3RSG,-,5
438.5750,431.5750,VK3RWD,-,Seaview,West Gippsland,-38.26304,145.998709,O,50,410,3,3BJA,91.5,
438.6000,431.6000,VK3RVZ,-,Brighton,Melbourne,-37.897281,144.989993,O,20,15,3,3TVZ,123,117
438.6000,431.6000,VK3RWO,-,Bald Hill,West Wodonga,-36.103698,146.790444,O,50,-,-,3ANE,123,
438.6250,433.6250,VK3RPW,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWE,-,portable,Statewide,-,-,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWI,-,portable,Statewide WICEN,-,-,O,5,-,-,VWN,-,
438.6250,433.6250,VK3RWP,-,portable,Statewide,-,-,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWR,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.6500,431.6500,VK3RGV,Wombat,Mt Wombat,NE Victoria,-36.849308,145.67307,O,-,800,-,3WI,123,
438.6750,433.6750,VK3RWU,-,Mt William,Grampians,-37.294985,142.603725,O,100,1170,3,3WI,91.5,6
438.7000,433.7000,VK3RBM,-,Bacchus Marsh,Bacchus Marsh 11/16,-37.643898,144.416653,P,100,500,3,3HF,91.5,103
438.7500,433.7500,VK3RHF,-,Olinda,Melbourne,-37.857864,145.364227,O,50,600,3,3UJ,88.5,8
438.8750,431.8750,VK3RHF,-,Mt Macedon,Melbourne,-37.374733,144.578414,O,50,990,3,3UJ,88.5,8
439.2750,434.2750,VK3RBA,Bunyng,Mt Buninyong,Ballarat,-37.65293,143.926465,O,50,750,3,3WI,91.5,6
439.3000,434.3000,VK3RYV,Briart,Briarty Hill,Yarra Valley,-37.730985,145.476243,O,-,-,-,3YVG,-,
439.3250,434.3250,VK3RGH,GreenH,Green Hill,Macedon R & Melb 11/16,-37.186272,144.425745,P,100,600,3,3HF,91.5,103
439.3500,434.3500,VK3RMP,Caveat,Caveat,North Central 8/17,-37.06943,145.500901,T,100,670,3,VSA,91.5,102
439.3750,434.3750,VK3RMC,-,Berwick,Berwick,-38.003847,145.328712,O,25,-,-,3APC,-,
439.4250,434.4250,VK3RNE,BigBen,Mt Big Ben,Wodonga,-36.40601,146.94112,O,-,1158,-,3WI,-,
439.4250,434.4250,VK3RSV,-,Noble Park,Melbourne EchoLink,-37.967779,145.188612,O,200,90,4,2CL,91.5,64
439.4500,434.4500,VK3RMN,KLake,Kinglake,Melbourne,-37.515708,145.316285,O,80,600,-,VWN,91.5,39
438.4250,431.4250,VK3RGW,Cborn,Cranbourne,Mornington Peninsula,-38.113722,145.280059,O,50,71,3.5,3BJA,91.5,
439.5250,434.5250,VK3RTU,MntTay,Mt Taylor,Bairnsdale,-37.705615,147.560807,O,60,476,2.5,3EGC,-,
439.5500,434.5500,VK3RSB,-,Mt St Leonard,Melbourne,-37.567537,145.52555,O,100,1028,3,VSA,91.5,102
439.5750,434.5750,VK3RGC,MoPell,Montpellier,Geelong,-38.157168,144.313919,O,45,160,3,3ATL,91.5,
439.6000,434.6000,VK3RDX,-,Mt Waverley,Melbourne,-37.874466,145.138124,O,100,132,3,3HF,91.5,103
439.6250,434.6250,VK3RBY,-,Bayswater,Melbourne,-37.840432,145.263938,O,80,-,2,3MY,88.5,
439.6500,434.6500,VK3RSA,-,Emerald,Melbourne,-37.93236,145.44378,O,100,370,3,VSA,91.5,102
439.6750,434.6750,VK3RZU,-,Mt Buller,Mansfield 6/15,-37.146425,146.43441,T,-,1800,-,3WI,-,
439.7000,434.7000,VK3RBP,-,Horsham,Wimmera,-36.716182,142.198367,O,25,135,-,3III,91.5,
439.7000,434.7000,VK3RRC,RdlsCk,Riddells Creek,Riddells Creek 8/17,-37.447981,144.66484,P,40,-,-,VSA,91.5,102
439.7500,434.7500,VK3RAJ,Upwey,Upwey,Melbourne SE,-37.90393,145.317257,O,50,270,3,3AJ,91.5,102
439.8000,434.8000,VK3RMU,StLeo,Mt St Leonard,Melbourne,-37.567537,145.52555,O,200,1028,2.5,3WI,-,
439.8250,434.8250,VK3RBL,-,Bambill South,NW Victoria,-34.472579,141.508093,O,-,-,-,3WI,-,
439.8250,434.8250,VK3RMM,Macdon,Mt Macedon,Melbourne WICEN 5/16,-37.383441,144.57678,X,100,1011,3,3WI,91.5,
439.8500,434.8500,VK3RPU,-,Arthur's Seat,Melbourne,-38.356043,144.951503,O,40,-,2.5,3WI,91.5,
439.8750,434.8750,VK3RDU,Major,Mt Major,Goulburn Valley,-36.36159,145.694467,O,40,377,2.5,3WI,-,
439.8750,434.8750,VK3RMC,-,Narre Warren Nth,Melbourne SE,-38.003847,145.328712,O,25,-,-,3APC,-,
439.8750,434.8750,VK3RWL,Warnum,Mt Warrnambool,Warrnambool,-38.304936,142.737853,O,40,-,0.5,3ATL,91.5,
439.9000,434.9000,VK3RSE,-,Glen Waverley,Melbourne,-37.890655,145.173481,O,100,-,2,3NH,-,
439.9250,434.9250,VK3RWP,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
439.9500,434.9500,VK3RMG,-,Mt Broughton,Yea - Seymour,-37.120472,145.412989,O,30,650,3,3JFK,-,68
439.9500,434.9500,VK3RPL,Portld,Portland,Portland,-38.387794,141.631864,O,200,100,3,3AJ,91.5,100,101
439.9500,434.9500,VK3RYN,-,Yallourn North,Latrobe Valley 8/17,-38.153547,146.406513,T,40,112,3,3AJ,91.5,102
439.9750,434.9750,VK3RSS,-,portable,Statewide,-,-,O,-,-,-,VSA,-,40
439.9750,434.9750,VK3RWP,-,portable,Statewide,-,-,O,-,-,-,VWN,-,
,,,,,,,,,,,,,,{{70CM;FM;VK4}}
438.0250,433.0250,VK4RTQ,-,Mt Kynoch,Toowoomba,-27.506166,151.955865,O,50,500,3.5,4QF,91.5,
438.0500,433.0500,VK4RGT,-,Maurice Hill,Gladstone City,-23.935977,151.242554,O,83,212,2,QGL,-,
438.0500,433.0500,VK4RZD,-,Mt Perseverance,Ipswich to T'mba Range,-27.413366,152.161336,O,100,700,1,4BWI,91.5,70
438.0750,433.0750,VK4RSC,-,Wilkes Knob,Sunshine Coast,-26.778175,152.912493,O,20,450,-,4WIS,91.5,
438.1000,433.1000,VK4RZA,-,Springbrook,Gold Coast,-28.232629,153.290201,O,-,940,1,4BWI,91.5,70
438.1250,433.1250,VK4RZC,-,Wilkes Knob,Maleny,-26.778944,152.91545,O,-,470,1,4BWI,91.5,70
438.1750,433.1750,VK4RSL,-,Noosa Heads,Sunshine Coast North,-26.389268,153.097528,O,25,100,4.5,4WIS,91.5,
438.2000,433.2000,VK4RZB,-,Mt Coot-tha,Brisbane,-27.479744,152.954043,O,100,560,1,4BWI,91.5,70
438.2250,433.2250,VK4RAT,-,Mt Stuart,Townsville,-19.343838,146.780685,O,10,584,10,4WIT,91.5,
438.2250,433.2250,VK4RAR,-,Mt Archer,Rockhampton,-23.337255,150.576557,O,25,608,4,4WIR,91.5,49
438.2250,432.8250,VK4RPH,-,Mt Haren,Kuranda,?,?,O,50,250,-,4BS,123,
438.2750,433.2750,VK4RBR,-,Mt Gravatt,Brisbane,?,?,O,110,80,-,4WIE,-,
438.3250,433.3250,VK4RRC,-,Wamuran,Redcliffe,-27.036716,152.823105,O,25,230,4.5,4RC,91.5,
438.3750,433.3750,VK4RWM,-,North Ipswich,Ipswich,-27.590312,152.758288,O,70,120,4.5,4WIP,91.5,47
438.4250,433.4250,VK4RBX,-,The Knobby,Ipswich,-27.502263,152.591633,O,70,120,4.5,4AB,123,72
438.5000,433.5000,VK4RHR,-,Hodgson Range,Clermont,-22.692692,148.033559,O,50,520,-,4WCH,-,
438.5000,433.5000,VK4RLW,-,O'Briens Mtn,Logan/Bdesert,-27.717924,152.879029,O,25,315,10,4OD,91.5,
438.5750,433.5750,VK4RSS,-,Ocean View,Brisbane North,-27.133695,152.829395,O,25,530,5,4RV,91.5,34
438.6000,433.6000,VK4RGC,-,Springbrook,Gold Coast 12/17,-28.231694,153.266325,X,150,1010,4,4WIG,91.5,84
438.6250,433.6250,VK4RAG,-,Black Mtn,Brisbane WICEN,-26.422383,152.854389,O,20,90,-,4BWI,-,
438.6250,433.6250,VK4RWI,-,portable,Statewide WICEN,-,-,O,-,-,-,QWN,-,
438.6500,433.6500,VK4REG,-,Mt Mowbullan,Bunya Mtns,-26.888563,151.600764,O,100,1700,5,4QF,91.5,
438.6500,433.6500,VK4RWN,-,Mt Spencer,Gladstone/Rockhampton,-23.922296,150.076255,O,-,-,-,4WIR,91.5,49
438.6750,433.6750,VK4RWS,-,Nebo,Mackay,-21.600646,148.967883,O,-,-,-,4DW,91.5,
438.7000,433.7000,VK4RET,-,Mt Kiangarow,S Burnet & D/Downs,-26.830664,151.548911,O,50,1145,5,4BAD,91.5,19
438.7500,433.7500,VK4RLB,-,Woodridge,Logan,-27.627411,153.100191,O,25,60,4,4ARN,-,3
438.7750,433.7750,VK4RBU,MtGoon,Mt Goonaneman,Bundaberg/Maryborough,-25.433093,152.122131,O,10,620,4,4BW,-,
439.2750,434.2750,VK4RDD,-,O'Rourke's House,Toowoomba,-27.691258,151.991884,O,35,702,4,4WID,91.5,
439.3000,434.3000,VK4RBM,-,Blue Mtn,Mackay 6/15,-21.600646,148.967883,T,25,-,-,4WIM,-,42
439.3000,434.3000,VK4RBQ,-,Mt Coot-Tha,Brisbane 9/15,-27.463175,152.947118,X,-,-,-,4WIG,-,
439.3000,434.3000,VK4RSM,-,Spring Mtn,Springfield,-27.717924,152.879029,O,25,-,-,4AB,91.5,47
439.3250,434.3250,VK4RAI,-,The Knobby,Ipswich,-27.502263,152.591633,O,-,-,4,4WIP,91.5,49
439.3750,434.3750,VK4RNL,-,Hervey Bay,N. Sunshine Coast 6/15,-25.270368,152.734623,P,25,90,5,4NL,-,
439.6250,434.6250,VK4RSA,-,Sarina,Mackay,-21.497521,149.16955,O,25,400,4,4RM,-,49
439.7250,434.7250,VK4RBS,-,Alexandra Hills,Redlands 10/21,?,?,U,25,70,3.5,4BAY,91.5,
439.7500,434.7500,VK4RBF,-,Bowenia,Yeppoon,-22.882762,150.627724,O,-,-,-,4WIR,91.5,49
439.7500,434.7500,VK4RMA,-,Mt Alma,Gladstone/Rockhampton 10/21,?,?,U,50,90,3,4WIR,91.5,
439.7750,434.7750,VK4RBW,BundaN,Watalgan,N Bundaberg,-24.701339,151.962052,O,50,-,4,4BW,-,
439.8000,434.8000,VK4RGL,-,Lady Larcom,Gladstone,-23.805067,151.126417,O,150,330,2.5,4HN,91.5,63
439.8250,434.8250,VK4RBT,-,Wongawallan,Gold Coast,-27.882998,153.259931,O,50,354,3,4WIG,91.5,
439.8500,434.8500,VK4RCA,-,Cairns,Cairns,-16.915508,145.775036,O,50,50,4,4HM,-,
439.8750,434.8750,VK4RCQ,-,Banana Range,Monto,-24.450308,150.314482,O,-,-,-,4RCQ,-,
439.8750,434.8750,VK4RLU,-,Mt Dunsinane,Logan,-27.926477,153.040439,O,30,400,4,4BAB,91.5,
439.9000,434.9000,VK4RBK,-,Tolga,Atherton Tableland,-17.222963,145.447263,O,-,937,4,4WAT,-,
439.9000,434.9000,VK4RXZ,-,Maleny,Maleny 2/16,-26.731677,152.901993,X,50,500,4,4XZ,-,
439.9250,434.9250,VK4RWM,-,North Ipswich,Ipswich,-27.590312,152.758288,O,5,60,-,4WIP,91.5,
439.9500,434.9500,VK4RBA,-,Rochedale,Brisbane,-27.553116,153.128853,O,-,-,-,4BA,123,
439.9500,434.9500,VK4RGY,Gympie,Gympie,Gympie,-26.187777,152.671423,O,25,95,4,4GYM,-,
439.9500,434.9500,VK4RSD,-,Malanda,Sth Atherton Tablelands,-17.36186,145.636904,O,50,730,3,4SDD,-,112
439.9750,434.9750,VK4RMC,-,Mt Coot-Tha,Brisbane,-27.463175,152.947118,O,50,-,3,4QF,91.5,
,,,,,,,,,,,,,,{{70CM;FM;VK5}}
438.0250,433.0250,VK5RSA,AdlCty,Adelaide,Adelaide City,-34.924828,138.598754,O,50,55,5,5ARG,-,
438.2000,433.2000,VK5RBP,-,portable,Statewide (Scouts) 6/15,-,-,P,50,-,3,5BP,-,
438.3250,433.3250,VK5RCT,-,Moonta,Moonta,-34.047307,137.65363,O,-,-,-,5ZSW,91.5,
438.5000,431.5000,VK5RMN,-,The Bluff,Port Pirie,-33.086404,138.162772,O,25,730,5,STX,-,83
438.5250,433.5250,VK5RVH,VictrH,Brown Hill,Victor Harbor,-35.505725,138.646365,O,80,270,5,5GF,91.5,
439.8000,434.8000,VK5RBV,-,Mt Kitchener,Barossa Valley,-34.571977,139.005935,O,50,580,3.5,5BRC,-,53
439.8250,434.8250,VK5ROH,MtgUHF,Blue Lake,Mt Gambier,?,?,O,15,135,3.5,5SR,-,81
439.8250,434.8250,VK5RSC,-,Mt Terrible,Adelaide South,-35.331101,138.501776,O,50,380,5,5ARC,91.5,
439.8500,434.8500,VK5RAC,-,Pillaworta Hill,Lower Eyre Peninsula,-34.392624,135.954064,O,50,325,4.5,5ZEA,-,
439.8750,434.8750,VK5RHO,-,Anstey Hill,Adelaide,-34.841909,138.74945,O,20,410,3.5,5GRC,-,
439.9000,434.9000,VK5RSB,Sumtwn,Summertown,Adelaide,-34.949232,138.716978,O,100,620,5,5ARG,91.5,
439.9250,434.9250,VK5RAD,-,Crafers,Adelaide,-34.998452,138.698773,O,25,610,5,5BAR,-,
439.9500,434.9500,VK5ROC,-,Lower Light,Adelaide NW,-34.546656,138.375003,O,50,30,4,5LZ,-,
439.9750,434.9750,VK5RLZ,-,Elizabeth,Adelaide North,-34.742448,138.649074,O,25,73,3,5LZ,91.5,
,,,,,,,,,,,,,,{{70CM;FM;VK6}}
438.0250,433.0250,VK6RPT,-,portable,Statewide,-,-,O,20,-,10,6RRG,-,88
438.2000,432.8000,VK6RRR,-,Kalgoorlie,Kalgoorlie,-30.735091,121.48323,O,-,-,-,6ML,-,
438.2250,433.2250,VK6RTH,PerNE,Tic Hill,Perth North East,-31.825768,116.063938,O,40,230,4,6RRG,-,19
438.5250,433.5250,VK6RAV,-,Hoddy Well,Avon East 7/17,-31.631042,116.488988,P,-,-,-,6RRG,-,
438.5250,433.5250,VK6RCT,Cataby,Yandan Hill,Cataby 7/17,-30.758363,115.598169,P,-,200,-,6RRG,-,
438.5250,433.5250,VK6RMS,-,Boddington,Boddington 7/17,-32.964855,116.450861,P,-,-,-,6RRG,-,
438.6500,433.6500,VK6RBY,Bunbry,Harvey,Bunbury,-33.10002,115.926023,O,25,20,5,6BRC,123,43
438.6750,433.6750,VK6RBN,Busltn,Chapman Hill,Busselton,-33.81447,115.370163,O,-,130,-,6RRG,-,
438.7250,433.7250,VK6RNA,-,Wanneroo,Perth,-31.755398,115.819357,O,40,230,4,6RNA,123,
439.7000,434.7000,VK6ROT,Rotto,Rottnest Is,Perth Coast,-32.000023,115.524824,O,20,55,5,6ZTN,-,19
439.8000,434.8000,VK6RAP,PerSE1,Roleystone,Perth South East,-32.100052,116.05155,O,50,360,5,6RRG,123,11
439.9500,434.9500,VK6RAA,MtBark,Mt Barker,South Coast,-34.655747,117.647055,O,25,450,5,6SR,-,54
439.9500,434.9500,VK6RAL,Albany,Mt Clarence,Albany,-35.024783,117.894701,O,25,-,-,6SR,-,54
439.9500,434.9500,VK6RAR,-,portable,Statewide WICEN,-,-,O,25,-,-,WWN,-,
,,,,,,,,,,,,,,{{70CM;FM;VK7}}
438.0500,433.0500,VK7RBH,-,Ben Lomond,North East Tasmania,-41.533067,147.658814,O,25,1570,10,7TAZ,-,
438.5000,433.5000,VK7RIN,-,Barren Tier,Central Tasmania,-42.018302,146.75519,O,25,1200,-,7TAZ,-,
438.5250,433.5250,VK7RCR,-,Lenah Valley,Hobart,-42.86165,147.277901,O,20,220,2,7ZCR,91.5,
438.5500,433.5500,VK7RAB,-,portable,Tasmania,-,-,O,50,1190,3,7TAZ,-,60
438.5500,433.5500,VK7RAF,-,Mt Faulkner,Hobart,-42.792233,147.19151,O,-,900,-,7OB,-,60
438.6000,433.6000,VK7RMD,-,Mt Duncan,NW Tasmania,-41.194584,146.035604,O,40,600,10,7NW,141.3,
438.6500,433.6500,VK7RAC,-,Table Cape,NW Tasmania,-40.952269,145.720715,O,25,150,5,7DC,141.3,
438.7000,433.7000,VK7RAK,-,Gagebrook,Hobart,-42.740275,147.266427,O,40,100,-,7HDM,-,
438.8000,431.8000,VK7RUN,-,Trevallyn,Launceston 12/19,-41.43975,147.119383,T,20,155,2,7YAD,-,
438.8250,431.8250,VK7RUN,-,Trevallyn,Launceston 12/19,-41.43975,147.119383,T,20,155,2,7YAD,-,
438.8500,431.8500,VK7RUN,-,Trevallyn,Launceston,-41.43975,147.119383,O,20,155,2,7YAD,-,
439.7000,434.7000,VK7REC,-,Snow Hill,East Coast,-41.915819,147.835645,O,-,970,-,7TAZ,-,
439.7500,434.7500,VK7RDS,-,Mt Nelson,Hobart,-42.919535,147.316426,O,30,280,4,7SD,-,
439.7750,434.7750,VK7RDR,-,Dazzler Range,Northern Tasmania,-41.23523,146.719314,O,70,155,5,TNA,91.5,
439.8250,434.8250,VK7RTC,-,Mt Wellington,Hobart,?,?,O,50,1271,5,7TAZ,91.5,59,113
439.8250,434.8250,VK7RTC,-,Mt Lloyd,Derwent Valley,?,?,O,50,932,5,7TAZ,91.5,59,113
439.8250,434.8250,VK7RTC,-,Grey Mtn,Huon & Channel,?,?,O,50,821,5,7TAZ,91.5,59,113
439.9000,434.9000,VK7RAL,-,Companion Hill,Hampshire,-41.341217,145.728188,O,50,825,5,7TAZ,141.3,59,113
,,,,,,,,,,,,,,{{70CM;FM;VK8}}
438.2750,433.2750,VK8RDA,-,Darwin,Darwin 6/15,-12.480794,130.984368,X,10,75,4,8DA,91.5,
438.5250,433.5250,VK8RIT,ASpr70,West Gap,Alice Springs,-23.722205,133.856578,O,25,776,3,8AR,91.5,
438.7250,431.7250,VK8RKT,-,Water Tank Hill,Katherine,-14.44542,132.295828,O,50,143,-,8MA,91.5,122
,,,,,,,,,,,,,,{{23CM;FM;VK2}}
1273.1000,1293.1000,VK2RTZ,SugarL,Sugarloaf Range,Lower Hunter,-32.950285,151.517688,O,83,442,3,2ATZ,-,
1273.2000,1293.2000,VK2RPW,-,Grundy Mtn,Walcha,-31.326561,151.655579,O,30,1463,3,2TOP,-,
1273.2000,1293.2000,VK2RWC,Chats1,Chatswood,Sydney,-33.798005,151.178974,O,30,140,2,NWN,-,
1273.3000,1293.3000,VK2RPL,Nardi,Mt Nardi,Lismore 3/17,-28.542669,153.290154,T,10,850,3,2SRC,-,
1273.4000,1293.4000,VK2RAG,Someb,Somersby,Gosford - Wyong 7/18,-33.360078,151.291215,T,-,320,-,2EH,-,
1273.5000,1293.5000,VK2RWI,Dural,Dural,Sydney,-33.698742,151.055463,O,10,240,3,2WI,-,
,,,,,,,,,,,,,,{{23CM;FM;VK3}}
1273.1000,1293.1000,VK3RCC,-,Melbourne,Melbourne City,-37.813822,144.969482,O,50,120,-,3BKR,-,
1273.2500,1293.2500,VK3RGH,GreenH,Green Hill,Macedon Ranges 6/15,-37.186272,144.425745,P,30,600,3,3HF,-,75
1273.3500,1293.3500,VK3RLV,Tassie,Mt Tassie,Latrobe Valley,-38.393572,146.55926,O,80,730,2.5,3WI,-,78
1273.4500,1293.4500,VK3RMN,KLake,Kinglake,Melbourne,-37.515708,145.316285,O,30,600,3,3HF,-,75
1273.5000,1293.5000,VK3RMU,StLeo,Mt St Leonard,Melbourne East 6/15,-37.567537,145.52555,P,-,-,-,3WI,-,
1273.7000,1293.7000,VK3RIR,-,Bendigo,Bendigo 6/15,-38.354463,144.953894,P,-,300,-,3JED,-,
1273.9250,1293.9250,VK3RBA,Bunyng,Mt Buninyong,Ballarat,-37.65293,143.926465,O,10,750,3,3WI,91.5,
,,,,,,,,,,,,,,{{23CM;FM;VK4}}
1273.3000,1293.3000,VK4RSC,-,Wilkes Knob,Sunshine Coast South,-26.778175,152.912493,O,-,470,-,4WIS,91.5,
1273.3500,1293.3500,VK4RLB,-,Woodridge,Brisbane South 6/15,-27.627411,153.100191,P,-,560,4,4ARN,-,
1273.4000,1293.4000,VK4RZB,-,Constitution Hill,Brisbane 6/15,-27.479744,152.954043,X,20,560,-,4BWI,91.5,70
1273.5000,1293.5000,VK4RMC,-,Mt Coot-tha,Brisbane,-27.463175,152.947118,O,30,-,3,4QF,-,
,,,,,,,,,,,,,,{{23CM;FM;VK5}}
1273.3750,1293.3750,VK5RHO,-,Houghton,Adelaide North 6/15,-34.841909,138.74945,P,50,410,5,5GRC,-,
1273.4500,1293.4500,VK5RSC,-,Mt Terrible,Adelaide South 6/15,-35.331101,138.501776,T,50,380,5,5ARC,-,
1273.5000,1293.5000,VK5RSB,Sumtwn,Summertown,Adelaide,-34.949232,138.716978,O,50,620,5,5ARG,-,
1273.5500,1293.5500,VK5RLZ,-,Elizabeth,Adelaide North 6/15,-34.742448,138.649074,X,5,73,5,5LZ,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK2}}
146.6625,146.0625,VK1RWN C,-,Isaacs Ridge,Canberra Central (G),-35.365604,149.119038,O,25,790,3,1ACA,-,
146.6375,146.0375,VK2RAG C,Someb,Somersby,Gosford (G),-33.360078,151.291215,O,25,320,4,2EH,-,
438.3250,432.9250,VK2RAG B,Someb1,Somersby,Gosford (G),-33.360078,151.291215,O,25,320,4,2EH,-,96
1273.4000,1293.4000,VK2RAG A,Someb2,Somersby,Gosford 6/15,-33.360078,151.291215,P,10,320,4,2EH,-,
438.7750,433.7750,VK2RBV B,-,Sydney,Sydney,-33.864292,151.211542,O,50,200,3,2BV,-,
146.7625,146.1625,VK2RDS C,Maddns,Maddens Plains,Wollongong-Sydney,-34.263384,150.954594,O,50,465,4,2AMW,-,
146.9625,146.3625,VK2RWN C,-,Terrey Hills,Sydney (G),-33.692908,151.222351,O,25,-,3,2MB,-,
438.4000,433.0000,VK2RWN B,-,Terrey Hills,Sydney (G),-33.692908,151.222351,O,25,-,3,2MB,-,79,96
1273.9000,1293.9000,VK2RWN A,-,Terrey Hills,Sydney (G) 6/15,-33.692908,151.222351,P,25,-,3,2MB,-,
1298.7000,1298.7000,VK2RWN AD,-,Terrey Hills,Sydney (G) 6/15,-33.692908,151.222351,P,25,-,-,2MB,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK3}}
438.9125,438.9125,VK3RCE B,-,Bendigo,Bendigo (G),-36.733848,144.303883,O,25,-,3,3CE,-,
438.2000,432.8000,VK3RGV B,Wombat,Mt Wombat,Shepparton (G),-36.849308,145.67307,O,25,800,3,3WI,-,96
146.7625,146.1625,VK3RMC C,-,Berwick,Berwick (G),-38.003847,145.328712,O,25,-,-,3APC,-,
438.1250,432.7250,VK3RMC B,-,Berwick,Berwick (G),-38.003847,145.328712,O,25,-,-,3APC,-,
1273.9500,1293.9500,VK3RMC A,-,Berwick,Berwick (G),-38.003847,145.328712,O,10,-,-,3APC,-,
1298.1000,1298.1000,VK3RMC AD,-,Berwick,Berwick (G),-38.003847,145.328712,O,10,-,-,3APC,-,
438.0500,432.6500,VK3RMM B,Macdon,Mt Macedon,Melbourne NW (G),-37.383441,144.57678,O,25,1011,3,3WI,-,96
146.8875,146.2875,VK3RSD C,-,Upwey,Melbourne,-37.90393,145.317257,O,-,270,-,VSA,-,
438.2750,432.8750,VK3RSD B,-,Upwey,Melbourne 8/17,-37.90393,145.317257,P,-,270,-,VSA,-,96
1273.9750,1293.9750,VK3RSD A,-,Upwey,Melbourne 8/17,-37.90393,145.317257,P,-,270,-,VSA,-,
1298.5000,1298.5000,VK3RSD D,-,Upwey,Melbourne 8/17,-37.90393,145.317257,P,-,270,-,VSA,-,
146.9125,146.3125,VK3RWN C,-,Olinda,Melbourne East (G),-37.857864,145.364227,O,25,600,3,3ER,-,
438.3000,432.9000,VK3RWN B,-,Olinda,Melbourne East (G),-37.857864,145.364227,O,25,600,3,3ER,-,79,96
1273.9000,1293.9000,VK3RWN A,-,Olinda,Melbourne East (G),-37.857864,145.364227,O,10,600,3,3ER,-,
1298.3000,1298.3000,VK3RWN AD,-,Olinda,Melbourne East (G),-37.857864,145.364227,O,10,600,-,3ER,-,
438.1500,432.7500,VK3RWW B,-,portable,Nation wide (G),-,-,O,25,-,3,WIA,-,96
438.3000,432.9000,VK3RWW B,-,portable,Nation wide (G) 6/15,-,-,X,25,-,3,WIA,-,96
1273.8500,1293.8500,VK3RWW A,-,portable,Nation wide (G) 6/15,-,-,X,10,-,3,WIA,-,
1298.9000,1298.9000,VK3RWW AD,-,portable,Nation wide (G),-,-,O,10,-,-,WIA,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK4}}
439.9500,434.9500,VK4RAS B,-,Carborough Range,Moronbah,-21.920748,148.312728,O,50,450,3,4WCH,-,
146.6375,146.0375,VK4RBD C,-,Blackdown Tableland,Blackwater,-23.774068,149.116831,O,50,950,3,4WCH,-,
146.7875,146.1875,VK4RBX C,-,The Knobby,Ipswich (G),-27.502263,152.591633,O,25,600,3,4AB,-,
146.6500,146.0500,VK4RBY C,-,Black Mtn,Mackay,-21.064039,149.095465,O,25,-,-,4WCH,-,
438.4500,433.4500,VK4RBY B,-,Black Mtn,Mackay,-21.064039,149.095465,O,-,-,-,4WCH,-,
438.3125,432.9125,VK4RDK B,-,Mt Tamborine,Gold Coast,-27.996729,153.183113,O,25,500,-,4BJT,-,96
146.7375,146.1375,VK4RDS C,-,Wilkes Knob,Maleny (G),-26.778175,152.912493,O,25,470,3,4KZK,-,
438.5500,433.3500,VK4RDS B,-,Wilkes Knob,Maleny (G),-26.778175,152.912493,O,25,470,3,4KZK,-,
1273.2000,1293.2000,VK4RDS A,-,Wilkes Knob,Maleny (G),-26.778175,152.912493,O,25,470,3,4KZK,-,
438.3500,432.9500,VK4RDW B,-,Wongawallan,Gold Coast (G),-27.883359,153.259881,O,25,400,-,4BJT,-,96
438.2750,432.8750,VK4RSA B,-,Sarina,Mackay 1/16,-21.497521,149.16955,T,50,460,3,4RM,-,
438.4500,433.4500,VK4RUS B,-,Sarina,Sarina,-21.394248,149.237658,O,50,175,3,4WCH,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK5}}
146.9625,146.3625,VK5REX C,-,Winter Hill,Port Lincoln (G),-34.701651,135.828165,O,25,240,3,5ZEA,-,
438.2250,432.8250,VK5REX B,-,Winter Hill,Port Lincoln (G),-34.701651,135.828165,O,25,240,3,5ZEA,-,96
438.0750,432.6750,VK5RMK B,-,Renmark,Renmark,-34.158556,140.71543,O,-,-,-,5HS,-,
147.0375,147.6375,VK5RWN C,-,Banksia Park,Adelaide (G),-34.813759,138.748772,O,25,420,3,5ARG,-,
438.4000,433.0000,VK5RWN B,-,Banksia Park,Adelaide (G),-34.813759,138.748772,O,25,420,3,5ARG,-,96
1273.7000,1293.7000,VK5RWN A,-,Banksia Park,Adelaide (G) 6/15,-34.813759,138.748772,T,10,420,3,5ARG,-,
1299.7000,1299.7000,VK5RWN AD,-,Banksia Park,Adelaide (G) 6/15,-34.813759,138.748772,X,10,420,-,5ARG,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK6}}
